# 0 sig cnnb
# 1     svm
#
# 3 pfa cnnb
# 4     dnn
# 5     svm
# 6     hmm
# 
# 8 sfa cnnb
# 9     svm
# 10    hmm
#
# ER>0.1: ER = (ER-0.1)/10+0.1
#
#cnnb[1:3] dnn[4:6]   svm[7:9]   hmm[10:12]
#
0 0.011 0  "" "" ""   1 0.1525 0 "" "" ""
3 0 0.656  4 0.001 0  5 0.034 0  6 0 0.525
8 0.012 0  "" "" ""   9 0 0.525  10 0.001 0
